OBJECTID,ID,Y,X,NAZEV,AKTUALIZACE,CENA,JMENO
56,6282,50.675282,14.517592,"KM-Prona, Litoměřická 76, Česká Lípa",05.11.2014 10:08,35.5,KM-Prona
57,6742,50.767544,14.540609,"PapOil, Lipová 566, Nový Bor",05.11.2014 10:08,35.5,PapOil
58,6358,49.778004,16.90756,"LukOil, Třebovská, Mohelnice",05.11.2014 10:07,35.9,LukOil
59,7121,49.9421942,16.1657922,"Shell Czech Republic, a.s., Husova, Vysoké Mýto",05.11.2014 10:07,35.9,Shell Czech Republic
60,5687,49.9429,16.164425,"Benzina, Husova, Vysoké Mýto",05.11.2014 10:06,33.4,Benzina
61,6586,50.765565,14.541678,"OMV, B. Egermanna 1003, Nový Bor",05.11.2014 10:06,36.5,OMV
62,7335,49.953266,15.782451,"Eurobit  Olbrachtova, Chrudim",05.11.2014 10:05,33.3,Eurobit  Olbrachtova
63,6877,49.311171,13.300484,"RoBiN OIL, s.r.o., silnice 27, Běšiny u Klatov",05.11.2014 10:05,34.9,RoBiN OIL
64,6539,49.937286,15.795546,"OMV, Obce Ležáků 828, Chrudim",05.11.2014 10:05,37.2,OMV
65,6286,50.768419,14.536744,"KM-Prona, Okrouhlá 190",05.11.2014 10:05,35.5,KM-Prona
66,7348,49.938382,15.795435,"Eurobit, Obce Ležáků 828, Chrudim",05.11.2014 10:04,33.3,Eurobit
67,5301,50.06456,14.49411,"Agip, V korytech, Praha 10-Strašnice",05.11.2014 10:04,36.9,Agip
68,7195,50.080313,14.307381,"Šátka a Simajchl, Unhošťská, Praha 6-Ruzyně",05.11.2014 10:03,34.4,Šátka a Simajchl
69,6789,50.627033,13.827792,"PapOil, Bílinská 3140, Teplice",05.11.2014 10:03,35.9,PapOil
70,6283,50.68194,14.56444,"KM-Prona, Liberecká 1, Česká Lípa",05.11.2014 10:03,35.5,KM-Prona
71,6953,50.171507,12.314624,"Robin Oil,Vojtanov 105, Vojtanov",05.11.2014 10:03,35.8,Robin Oil
72,5873,50.678208,14.654075,"ČS, Mimoňská, Zákupy",05.11.2014 10:03,35.9,ČS
73,7235,49.02269,17.637304,"Tempex, Vazová 2366, Uherský Brod",05.11.2014 10:02,36.7,Tempex
74,6290,50.700153,14.785717,"KM-Prona, Máchova 359, Stráž pod Rálskem",05.11.2014 10:02,35.9,KM-Prona
75,6801,50.166848,12.316048,"PapOil, silnice E49, Vojtanov",05.11.2014 10:02,35.9,PapOil
76,5402,50.16689,12.315919,"Armex Oil, silnice E49, Vojtanov",05.11.2014 10:02,36.5,Armex Oil
77,5568,50.668127,14.726733,"Benzina, Žitavská, Mimoň",05.11.2014 10:02,36.5,Benzina
78,6816,50.709028,14.394178,"Pasoil, Nádražní 189, Žandov",05.11.2014 10:02,36.5,Pasoil
79,7240,50.137736,14.498508,"Tesco Stores ČR, a.s., Veselská 663, Praha 9-Letňa",05.11.2014 10:01,34.5,Tesco Stores ČR
80,6435,49.762654,15.480956,"Miloš Kvaček, Pražská 410, Habry",05.11.2014 10:01,36.9,Miloš Kvaček
81,6665,49.018238,17.660227,"OMV, U Korečnice, Uherský Brod",05.11.2014 10:01,36.9,OMV
82,5588,50.771183,14.54085,"Benzina, Lipová 842, silnice E442, Nový Bor",05.11.2014 10:01,35.5,Benzina
83,6986,50.692764,14.541949,"Shell Czech Republic, a.s., Žitavská, Česká Lípa",05.11.2014 10:01,35.9,Shell Czech Republic
84,7696,50.4122821,14.3057918,Pasoil,05.11.2014 10:01,35.9,Pasoil
85,5721,49.750382,13.403949,"Benzina Plus, Těšínská, Plzeň",05.11.2014 10:00,35.9,Benzina Plus
86,5491,50.700943,14.543059,"Benzina, Borská 3289, Česká Lípa",05.11.2014 10:00,35.5,Benzina
87,6889,50.2272,14.7219,"RoBiN OIL, s.r.o., silnice R10, směr Praha, Hlaven",05.11.2014 10:00,35.9,RoBiN OIL
88,5237,50.3442,14.871596,"Agip, silnice R10, směr Praha, Brodce",05.11.2014 10:00,37.7,Agip
89,5238,50.341869,14.873338,"Agip, silnice R10, směr Mladá Boleslav, Brodce",05.11.2014 10:00,37.7,Agip
90,5564,49.532604,14.663458,"Benzina, dálnice D3, směr Tábor, Mezno",05.11.2014 09:59,36.5,Benzina
91,5565,49.53288,14.665667,"Benzina, dálnice D3, směr Praha, Mezno",05.11.2014 09:59,37.5,Benzina
92,6146,49.961027,15.917602,"Framex, Smetanova 362, Hrochův Týnec",05.11.2014 09:58,34.9,Framex
93,6549,49.27232,13.83935,"OMV, Tyršova, Katovice",05.11.2014 09:58,34.9,OMV
94,6780,50.652775,14.534356,"PapOil, silnice 9, Sosnová",05.11.2014 09:58,34.5,PapOil
95,7186,49.903689,12.978769,"Swiss Tank, Plzeňská, Bezdružice",05.11.2014 09:57,36.9,Swiss Tank
96,6434,50.158266,17.574172,"Milan Schwarz, Krnovská 7, Město Albrechtice",05.11.2014 09:57,35.5,Milan Schwarz
97,5636,49.712316,14.097913,"Benzina, silnice R4, směr Příbram, Skalka",05.11.2014 09:57,35.7,Benzina
98,5286,49.73195,14.13753,"Agip, silnice R4, směr Praha, Obořiště",05.11.2014 09:57,35.9,Agip
99,6409,49.435355,14.622463,"Marie Čapková, Tábor-Všechov 15",05.11.2014 09:56,35.3,Marie Čapková
100,7056,50.027224,15.762374,"Shell Czech Republic, a.s., Teplého, Pardubice",05.11.2014 09:56,35.9,Shell Czech Republic
101,6190,50.16589,17.574042,"Gulf, Osvobození 18, Město Albrechtice",05.11.2014 09:56,35.3,Gulf
102,5551,50.08777,17.69388,"Benzina, Čs. Armády 5, Krnov",05.11.2014 09:56,35.8,Benzina
103,5302,50.07577,14.54846,"Agip, Štěrboholská spojka, z centra, za Europarkem",05.11.2014 09:56,37.9,Agip
104,5303,50.07727,14.58064,"Agip, Štěrboholská spojka, do centra, Praha 10-Ště",05.11.2014 09:56,37.9,Agip
105,5304,50.07645,14.5796,"Agip, Štěrboholská spojka, z centra, Praha 10-Štěr",05.11.2014 09:56,37.9,Agip
106,5811,50.0625,14.45361,"Bruto a.s., Bartoškova 1160, Praha 10-Vršovice",05.11.2014 09:55,33.9,Bruto a.s.
107,5626,49.69083,14.0325,"Benzina, Žižkova 705, Příbram",05.11.2014 09:55,35.9,Benzina
108,5550,50.100662,17.672334,"Benzina, Albrechtická, Krnov",05.11.2014 09:55,35.8,Benzina
109,5396,50.607603,14.582531,"Armex Oil, silnice 38, Jestřebí",05.11.2014 09:55,35.9,Armex Oil
110,5708,50.059336,14.485035,"Benzina Plus, Jižní spojka, směr Spořilov, Praha 1",05.11.2014 09:54,37.9,Benzina Plus
111,6608,50.07051,14.53015,"OMV, Štěrboholská radiála, do centra, Praha 10-Hos",05.11.2014 09:54,37.9,OMV
112,5161,50.657283,13.998636,"Benzina, Hrbovická, Ústí nad Labem",05.11.2014 09:53,34.9,Benzina
113,6811,49.572303,15.743266,"Pasoil, Husova 697, Přibyslav",05.11.2014 09:53,37.1,Pasoil
114,5221,50.563561,14.648603,"Acter Tank, Zámecká, Doksy",05.11.2014 09:53,34.9,Acter Tank
115,5249,50.550716,14.544046,"Agip, silnice 9, Dubá",05.11.2014 09:53,35.2,Agip
116,5487,48.973913,17.247973,"Benzina, Na Bažantnici, Bzenec",05.11.2014 09:52,36.2,Benzina
117,5787,50.57122,14.644584,"Benzina Plus, Valdštejnská, Doksy",05.11.2014 09:52,35.9,Benzina Plus
118,7241,49.826952,18.199961,"Tesco Stores ČR, a.s., Sjízdná 2a, Ostrava-Třebovi",05.11.2014 09:51,35.8,Tesco Stores ČR
119,5627,49.674904,12.674271,"Benzina, Borská 128, Přimda",05.11.2014 09:51,36.4,Benzina
120,7200,50.783799,14.616365,"Tank ONO, s.r.o., Cvikov",05.11.2014 09:51,32.9,Tank ONO
121,6291,49.187634,14.845431,"KM-Prona, Míru 692, Kardašova Řečice",05.11.2014 09:50,34.9,KM-Prona
122,6176,49.84591,18.14888,"Globus, Opavská 90, Ostrava-Plesná",05.11.2014 09:50,35.5,Globus
123,5939,50.667963,15.095317,"ETK, Rychnovská 44, Hodkovice nad Mohelkou",05.11.2014 09:50,36.4,ETK
124,7052,49.826702,18.200682,"Shell Czech Republic, a.s., Opavská 201, Ostrava-S",05.11.2014 09:50,37.4,Shell Czech Republic
125,5381,50.701111,14.541393,"Albert ČS, Šluknovská 3070, Česká Lípa",05.11.2014 09:50,34.5,Albert ČS
126,5435,50.698878,14.541458,"Avanti, Borská 4, Česká Lípa",05.11.2014 09:50,35.5,Avanti
127,6843,49.74871,16.269434,"ERNEKS/oil TEAM, Č.p. 21, Polička-Lezník",05.11.2014 09:49,35.9,ERNEKS/oil TEAM
128,7723,49.3195939,17.7800433,"ALITRON CZ, s.r.o., Držková, Zlín",05.11.2014 09:49,35.5,ALITRON CZ
129,7720,49.1710103,17.6243378,"ALITRON CZ, s.r.o., Zlín-Salaš 86",05.11.2014 09:49,35.9,ALITRON CZ
130,7721,49.2120319,17.7412342,"ALITRON CZ, s.r.o., Paseky 615, Želechovice nad Dř",05.11.2014 09:49,36.2,ALITRON CZ
131,6700,49.84846,13.373004,"PapOil, Tovární, Horní Bříza",05.11.2014 09:48,35.6,PapOil
132,7166,49.212648,17.809188,"Slovnaft, silnice 49, Zádveřice",05.11.2014 09:48,32.9,Slovnaft
133,7716,49.2544494,17.8212356,"ALITRON CZ, s.r.o., Neubuz 156",05.11.2014 09:48,35.7,ALITRON CZ
134,6837,49.171432,17.639865,"PH-Mobil, silnice 497, Bohuslavice u Zlína",05.11.2014 09:47,37.2,PH-Mobil
135,6685,49.746377,16.154164,"PapOil, silnice 34, Borová",05.11.2014 09:46,32.9,PapOil
136,5370,49.753767,16.477511,"Albert ČS, U Tří mostů 844/2, Svitavy",05.11.2014 09:46,35.2,Albert ČS
137,5744,49.753293,16.476993,"Benzina Plus, U Tří mostů, Svitavy",05.11.2014 09:46,36.2,Benzina Plus
138,5832,49.177107,17.943253,"Častulík, Vysoké Pole",05.11.2014 09:46,36.4,Častulík
139,6961,49.715418,16.255669,"Shell Czech Republic, a.s., Starohradská 316, Poli",05.11.2014 09:46,36.9,Shell Czech Republic
140,5862,50.209666,14.069507,"EUROBIT, silnice 236, Slaný",05.11.2014 09:45,33.3,EUROBIT
141,5242,50.7285667,13.7696575,"Agip, Cínovec 293",05.11.2014 09:45,38.7,Agip
142,6193,49.789671,16.48291,"Gulf, Hlavní 139, Svitavy-Lačnov",05.11.2014 09:45,35.9,Gulf
143,5614,49.71444,16.25666,"Benzina, Starohradská, Polička",05.11.2014 09:45,36.4,Benzina
144,6294,50.176972,14.319703,"KM-Prona, Pražská 180, Tursko",05.11.2014 09:44,36.3,KM-Prona
145,7018,50.20898,14.085129,"Shell Czech Republic, a.s., silnice R7, směr Chomu",05.11.2014 09:42,36.99,Shell Czech Republic
146,6764,50.00369,14.570167,"PapOil, dálnice D1, směr Praha, Průhonice",05.11.2014 09:42,35.9,PapOil
147,5772,50.010264,14.542935,"Benzina Plus, dálnice D1, směr Praha, Újezd u Průh",05.11.2014 09:42,37.2,Benzina Plus
148,5702,50.058888,14.489518,"Benzina Plus, Jižní spojka, směr Černý most, Praha",05.11.2014 09:42,37.9,Benzina Plus
149,6609,50.07011,14.53107,"OMV, Štěrboholská radiála, směr Černý most, Praha",05.11.2014 09:42,37.9,OMV
150,7078,50.05884,14.48334,"Shell Czech Republic, a.s., Jižní spojka 9, směr H",05.11.2014 09:42,37.9,Shell Czech Republic
151,7043,49.984052,14.603142,"Shell Czech Republic, a.s., dálnice D1, směr Praha",05.11.2014 09:42,38.7,Shell Czech Republic
152,5727,49.753189,15.022434,"Benzina Plus, dálnice D1, směr Praha, Střechov",05.11.2014 09:42,38.9,Benzina Plus
153,5737,49.27053,16.27949,"Benzina Plus, dálnice D1, směr Praha, Velká Bíteš",05.11.2014 09:42,38.9,Benzina Plus
154,6535,49.861327,14.790958,"OMV, dálnice D1, odpočívka Naháč, směr Praha, Choc",05.11.2014 09:42,38.9,OMV
155,5252,49.515378,15.415785,"Agip, dálnice D1, směr Praha, Herálec-Mikulášov",05.11.2014 09:42,39.9,Agip
156,6497,49.161166,16.571588,"OMV, dálnice D1, směr Praha, Brno-Starý Lískovec",05.11.2014 09:42,39.9,OMV
157,6501,49.174223,16.512969,"OMV, dálnice D1, směr Praha, Brno-Troubsko",05.11.2014 09:42,39.9,OMV
158,6599,49.455546,15.593128,"OMV, dálnice D1, směr Praha, Pávov",05.11.2014 09:42,39.9,OMV
159,7008,49.536457,15.334026,"Shell Czech Republic, a.s., dálnice D1, směr Praha",05.11.2014 09:42,39.9,Shell Czech Republic
160,7062,49.183042,16.479067,"Shell Czech Republic, a.s., dálnice D1, směr Praha",05.11.2014 09:42,39.9,Shell Czech Republic
161,7099,49.712522,15.065963,"Shell Czech Republic, a.s., dálnice D1, směr Praha",05.11.2014 09:42,39.9,Shell Czech Republic
162,7115,49.35375,16.033137,"Shell Czech Republic, a.s., dálnice D1, směr Praha",05.11.2014 09:42,39.9,Shell Czech Republic
163,7211,50.228094,14.493853,"Tank ONO, s.r.o., Kojetice-Tůmovka",05.11.2014 09:40,33.9,Tank ONO
164,7293,49.03611,15.82888,"Unicorn, silnice E59, Moravské Budějovice-Lažínky",05.11.2014 09:40,34.9,Unicorn
165,5819,49.53417,18.20194,"Calibra Plus, Papratná 159, Frenštát pod Radhoštěm",05.11.2014 09:38,32.9,Calibra Plus
166,6355,49.933192,14.019553,"LukOil, dálnice D5, směr Praha, Kralův Dvůr",05.11.2014 09:38,36.3,LukOil
167,5765,50.03333,14.21611,"Benzina Plus, dálnice D5, směr Praha, Rudná",05.11.2014 09:38,38.2,Benzina Plus
168,7686,49.955847,14.062903,"OMV, Dálnice D5, směr Praha, Beroun",05.11.2014 09:38,38.2,OMV
169,7091,49.75345,13.58861,"Shell Czech Republic, a.s., dálnice D5, směr Praha",05.11.2014 09:38,39.9,Shell Czech Republic
170,5343,49.852375,13.867345,"Agip, dálnice D5, směr Praha, Záluží",05.11.2014 09:38,41.7,Agip
171,5707,50.027235,15.754759,"Benzina Plus, Teplého, Pardubice",05.11.2014 09:37,35.2,Benzina Plus
172,5828,49.938667,14.716322,"CTJ, Husova 723, Mnichovice",05.11.2014 09:37,35.9,CTJ
173,7149,49.555793,18.197984,"Slovnaft, silnice 58, Frenštát pod Radhoštěm",05.11.2014 09:37,36.8,Slovnaft
174,6428,50.07856,14.47003,"Medos, Vinohradská, Praha 3-Vinohrady",05.11.2014 09:36,35.9,Medos
175,5166,50.675713,14.109813,"RoBiN OIL, s.r.o., Opletalova, Ústí nad Labem",05.11.2014 09:36,34.8,RoBiN OIL
176,5167,50.675801,14.110696,"PapOil, Opletalova 572, Ústí nad Labem",05.11.2014 09:36,34.8,PapOil
177,6692,50.068435,14.849599,"PapOil, Palackého, Český Brod",05.11.2014 09:36,36.6,PapOil
178,6600,49.885096,14.710166,"OMV, silnice E55, směr Praha, Pětihosty",05.11.2014 09:36,37.4,OMV
179,6601,49.884952,14.708559,"OMV, silnice E55, směr Benešov, Pětihosty",05.11.2014 09:36,37.4,OMV
180,7261,49.45111,14.37722,"TomeGas, Táborská 260/5, Milevsko",05.11.2014 09:35,34.7,TomeGas
181,5403,48.587217,14.322305,"Armex Oil, silnice 161, Studánky",05.11.2014 09:35,35.9,Armex Oil
182,5482,49.219011,16.575392,"Benzina, Královopolská, Brno-Žabovřesky",05.11.2014 09:35,37.4,Benzina
183,6312,50.355275,15.968597,"Konsekvence Ulrych, silnice 285, Rychnovek",05.11.2014 09:34,35.9,Konsekvence Ulrych
184,5168,50.67778,14.0125,"PapOil, Masarykova, Ústí nad Labem",05.11.2014 09:34,35.9,PapOil
185,5184,50.683603,14.016222,"Tank ONO, s.r.o., Božtěšická, Ústí nad Labem",05.11.2014 09:33,32.9,Tank ONO
186,5173,50.787475,13.977513,"Shell Czech Republic, a.s., silnice 248, Petrovice",05.11.2014 09:32,36.2,Shell Czech Republic
187,5175,50.811534,13.982424,"OMV, silnice 248, Petrovice 575",05.11.2014 09:32,36.2,OMV
188,5176,50.8116539,13.98177,"OMV, Petrovice 575B,",05.11.2014 09:32,36.2,OMV
189,5180,50.71208,13.969792,"Agip, dálnice D8, směr Německo, Varvažov",05.11.2014 09:32,36.5,Agip
190,5181,50.712914,13.969575,"Agip, dálnice D8, směr Praha, Varvažov",05.11.2014 09:32,36.5,Agip
191,6505,50.728023,13.766258,"OMV, Cínovec 294",05.11.2014 09:31,36.7,OMV
192,5185,50.6511711,14.0124672,"MAKRO Cash &amp; Carry ČR, s.r.o., Žižkova 3363/78, Ús",05.11.2014 09:31,32.9,MAKRO Cash &amp; Carry ČR
193,5186,50.6542122,14.0284019,"Pohona, Źižkova, Ústí nad Labem",05.11.2014 09:31,32.9,Pohona
194,5169,50.6494081,14.004171,"Globus, Tyršova 869, Ústí nad Labem",05.11.2014 09:31,33.9,Globus
195,5187,50.650079,14.042078,"Hokal, Pražská 18, Ústí nad Labem",05.11.2014 09:31,34.9,Hokal
196,5188,50.596201,14.043585,"PapOil, Pražská, Dolní Zálezly",05.11.2014 09:31,35.2,PapOil
197,5649,49.254253,13.551513,"Benzina, Pražská, Sušice",05.11.2014 09:30,35.8,Benzina
198,5170,50.69429,13.94055,"Tank ONO, s.r.o., Ústecká ev.č. 228, Ústí nad Labe",05.11.2014 09:30,32.9,Tank ONO
199,5164,50.659076,14.055601,"LukOil, Děčínská, Ústí nad Labem",05.11.2014 09:30,34.2,LukOil
200,5165,50.665884,14.130106,"RoBiN OIL, s.r.o., Ústecká, Velké Březno",05.11.2014 09:30,34.5,RoBiN OIL
201,5178,50.66111,14.04667,"OMV, Mariánská skála, Ústí nad Labem",05.11.2014 09:30,34.9,OMV
202,5163,50.663101,14.029902,"Pasoil, Klíšská, Ústí nad Labem",05.11.2014 09:30,35.5,Pasoil
203,5177,50.65927,14.03259,"Agip, Revoluční, Ústí nad Labem",05.11.2014 09:30,35.5,Agip
204,5693,49.740326,15.105548,"Benzina, Kutnohorská, Zruč nad Sázavou",05.11.2014 09:28,36.2,Benzina
205,6258,49.77925,15.015996,"Kácov, Kácov 310",05.11.2014 09:28,36.3,Kácov
206,5609,49.75499,13.310581,"Benzina, Chebská 522, Plzeň",05.11.2014 09:27,35.9,Benzina
207,6293,50.150917,15.79491,"KM-Prona, Hradecká, Opatovice nad Labem",05.11.2014 09:27,35.9,KM-Prona
208,5860,49.482256,16.241266,"ČS, Rožná",05.11.2014 09:25,35.7,ČS
209,5686,49.329035,18.001423,"Benzina, Generála Klapálka, Vsetín",05.11.2014 09:23,36.6,Benzina
210,6645,49.22755,14.72077,"OMV, silnice E55, Řípec",05.11.2014 09:23,35.9,OMV
211,5747,49.722431,17.285631,"Benzina Plus, Nádražní 2156/56, Šternberk",05.11.2014 09:21,36.9,Benzina Plus
212,6518,50.67028,13.79389,"OMV, Ruská 303, směr Cínovec, Dubí",05.11.2014 09:21,36.9,OMV
213,6939,48.911061,13.881408,"RoBiN OIL, s.r.o., Soumarská, Volary",05.11.2014 09:21,35.9,RoBiN OIL
214,6680,50.070626,14.541369,"P a M, Černokostelecká 327, Praha 10-Štěrboholy",05.11.2014 09:20,34.1,P a M
215,7285,50.061072,14.532924,"Tukas, Štěrboholská 391, Praha 10-Hostivař",05.11.2014 09:20,34.1,Tukas
216,6779,49.263497,14.712092,"PapOil, Sídliště Svákov 826, Soběslav",05.11.2014 09:20,35.7,PapOil
217,5938,50.06387,14.53773,"ETK, Průmyslová 1477/12, praha 10-Hostivař",05.11.2014 09:20,35.9,ETK
218,7277,50.06315,14.531919,"Transcentrum, Opravářská 2, Praha 10-Hostivař",05.11.2014 09:20,36.9,Transcentrum
219,6697,50.442938,15.822261,"PapOil, Krkonošská, Dvůr Králové",05.11.2014 09:20,35.4,PapOil
220,7284,50.068926,14.542336,"Tukas, K Hrušovu 344/6, Praha 10-Štěrboholy",05.11.2014 09:20,35.7,Tukas
221,5305,50.07347,14.46733,"Agip, Ruská, Praha 10-Vršovice",05.11.2014 09:20,35.9,Agip
222,7342,49.714375,16.722811,"ZD Městečko Trnávka, Městečko Trnávka",05.11.2014 09:20,35.8,ZD Městečko Trnávka
223,5683,48.91018,13.87178,"Benzina, Brixovy Dvory 397, Volary",05.11.2014 09:20,35.9,Benzina
224,6851,49.758022,16.649737,"TOLOSANER a.s., Svitavská, Moravská Třebová",05.11.2014 09:19,34.9,TOLOSANER a.s.
225,6581,49.751761,16.659208,"OMV, Dvorní 20, Moravská Třebová",05.11.2014 09:19,35.9,OMV
226,6321,50.598686,15.520064,"Kontakt, Čs. Legií, Jilemnice",05.11.2014 09:18,35.5,Kontakt
227,7136,49.212194,15.833924,"Silmet, Červená Hospoda 39",05.11.2014 09:18,35.7,Silmet
228,5202,49.113731,16.70521,"A+S, U Rozvodny, Sokolnice",05.11.2014 09:17,35.4,A+S
229,5497,50.063267,14.848714,"Benzina, Chouranice, Český Brod",05.11.2014 09:17,36.6,Benzina
230,6792,49.21028,15.85889,"PapOil, Pražská 998, Třebíč-Borovina",05.11.2014 09:16,35.4,PapOil
