"stanice","natural","diesel","okres","kraj"
"Agip, dálnice D8, směr Praha, Varvažov",36.5,36.5,"Ústí nad Labem","-stecký"
"OMV, Cínovec 294",36.7,36.7,"Teplice","-stecký"
"Globus, Tyršova 869, Ústí nad Labem",33.9,32.9,"Ústí nad Labem","-stecký"
"MAKRO Cash & Carry ČR, s.r.o., Žižkova 3363/78, Ús",32.9,32.9,"Ústí nad Labem","-stecký"
"Pohona, Źižkova, Ústí nad Labem",32.9,32.9,"Ústí nad Labem","-stecký"
"Hokal, Pražská 18, Ústí nad Labem",34.9,34.5,"Ústí nad Labem","-stecký"
"PapOil, Pražská, Dolní Zálezly",35.2,34.7,"Ústí nad Labem","-stecký"
"Benzina, Pražská, Sušice",35.8,34.9,"Klatovy","Plzeňský"
"Tank ONO, s.r.o., Ústecká ev.č. 228, Ústí nad Labe",32.9,32.9,"Ústí nad Labem","-stecký"
"LukOil, Děčínská, Ústí nad Labem",34.2,33.2,"Ústí nad Labem","-stecký"
"RoBiN OIL, s.r.o., Ústecká, Velké Březno",34.5,33.5,"Ústí nad Labem","-stecký"
"Pasoil, Klíšská, Ústí nad Labem",35.5,34.5,"Ústí nad Labem","-stecký"
"OMV, Mariánská skála, Ústí nad Labem",34.9,34.9,"Ústí nad Labem","-stecký"
"Agip, Revoluční, Ústí nad Labem",35.5,35.7,"Ústí nad Labem","-stecký"
"Benzina, Kutnohorská, Zruč nad Sázavou",36.2,35.7,"Kutná Hora","Středočeský"
"Kácov, Kácov 310",36.3,35.8,"Kutná Hora","Středočeský"
"KM-Prona, Hradecká, Opatovice nad Labem",35.9,34.9,"Pardubice","Pardubický"
"Benzina, Chebská 522, Plzeň",35.9,35.2,"Plzeň-město","Plzeňský"
"ČS, Rožná",35.7,35.1,"Žďár nad Sázavou","Vysočina"
"Benzina, Generála Klapálka, Vsetín",36.6,36.5,"Vsetín","Zlínský"
"OMV, silnice E55, Řípec",35.9,35.3,"Tábor","Jihočeský"
"Benzina Plus, Nádražní 2156/56, Šternberk",36.9,35.5,"Olomouc","Olomoucký"
"OMV, Ruská 303, směr Cínovec, Dubí",36.9,35.9,"Teplice","-stecký"
"RoBiN OIL, s.r.o., Soumarská, Volary",35.9,34.9,"Prachatice","Jihočeský"
"P a M, Černokostelecká 327, Praha 10-Štěrboholy",34.1,33.8,"Hlavní město Praha","Hlavní město Praha"
"Tukas, Štěrboholská 391, Praha 10-Hostivař",34.1,33.8,"Hlavní město Praha","Hlavní město Praha"
"PapOil, Sídliště Svákov 826, Soběslav",35.7,34.9,"Tábor","Jihočeský"
"ETK, Průmyslová 1477/12, praha 10-Hostivař",35.9,35.5,"Hlavní město Praha","Hlavní město Praha"
"Transcentrum, Opravářská 2, Praha 10-Hostivař",36.9,35.9,"Hlavní město Praha","Hlavní město Praha"
"PapOil, Krkonošská, Dvůr Králové",35.4,34.8,"Trutnov","Královéhradecký"
"Tukas, K Hrušovu 344/6, Praha 10-Štěrboholy",35.7,35.7,"Hlavní město Praha","Hlavní město Praha"
"Agip, Ruská, Praha 10-Vršovice",35.9,35.9,"Hlavní město Praha","Hlavní město Praha"
"Benzina, Brixovy Dvory 397, Volary",35.9,34.9,"Prachatice","Jihočeský"
"ZD Městečko Trnávka, Městečko Trnávka",35.8,34.9,"Svitavy","Pardubický"
"TOLOSANER a.s., Svitavská, Moravská Třebová",34.9,34.4,"Svitavy","Pardubický"
"OMV, Dvorní 20, Moravská Třebová",35.9,34.9,"Svitavy","Pardubický"
"Kontakt, Čs. Legií, Jilemnice",35.5,34.9,"Semily","Liberecký"
