"stanice","natural","diesel","okres","kraj"
"EuroOil, Boleslavská 153, Vlkava",34.9,34.5,"Mladá Boleslav","Středočeský"
"EuroOil, J.A.Komenského 488, Žacléř",35.5,34.5,"Trutnov","Královéhradecký"
"EuroOil, silnice 206, Žihle",35.7,34.5,"Plzeň-sever","Plzeňský"
"EuroOil, U Hřebčince 2581/17, Písek",35.2,34.5,"Písek","Jihočeský"
"EuroOil, Uhřice 11, Žarošice",34.9,34.5,"Hodonín","Jihomoravský"
"EuroOil, U Jezera 396, Merklín",35.4,34.6,"Plzeň-jih","Plzeňský"
"EuroOil, Podmokelská, Ústí nad Labem",34.9,34.7,"Ústí nad Labem","-stecký"
"EuroOil, Včelná 559",35.7,34.7,"České Budějovice","Jihočeský"
"EuroOil, třída Masarykova 304, Broumov",35.5,34.7,"Náchod","Královéhradecký"
"EuroOil, silnice 9, Dolní Podluží 507",34.9,34.7,"Děčín","-stecký"
"EuroOil, Novoborská 8, Chrastava",35.5,34.7,"Liberec","Liberecký"
"EuroOil, Kolínská 437, Kouřim",35.2,34.7,"Kolín","Středočeský"
"EuroOil, silnice 232, Kozojedy 152",35.7,34.7,"Plzeň-sever","Plzeňský"
"EuroOil, silnice 611, Kratonohy 158",34.7,34.7,"Hradec Králové","Královéhradecký"
"EuroOil, Pražská 1366, Mladá Boleslav",35.2,34.7,"Mladá Boleslav","Středočeský"
"EuroOil, Pražská 244, Olomouc",35.5,34.7,"Olomouc","Olomoucký"
"EuroOil, Lipenská 92, Olomouc",35.7,34.7,"Olomouc","Olomoucký"
"EuroOil, Raisova 569, Jičín",35.5,34.7,"Jičín","Královéhradecký"
"EuroOil, Muglinovská 26, Ostrava",35.2,34.7,"Ostrava-město","Moravskoslezský"
"EuroOil, Vítkovická 38, Ostrava",35.2,34.7,"Ostrava-město","Moravskoslezský"
"EuroOil, Michálkovická 227, Ostrava",35.5,34.7,"Ostrava-město","Moravskoslezský"
"EuroOil, Všebořická, Ústí nad Labem",34.9,34.8,"Ústí nad Labem","-stecký"
"EuroOil, Bělehradská 63, Ústí nad Labem",34.9,34.8,"Ústí nad Labem","-stecký"
"EuroOil, Brněnská 4955, Jihlava",35.5,34.8,"Jihlava","Vysočina"
"EuroOil, silnice 101, Mstětice 33",34.9,34.8,"Praha-východ","Středočeský"
"EuroOil, Moravská 160, Česká Třebová",35.7,34.9,"Ústí nad Orlicí","Pardubický"
"EuroOil, Dr. Richtra 40, Třešť",35.5,34.9,"Jihlava","Vysočina"
"EuroOil, Rudolfovská třída 676, České Budějovice",34.9,34.9,"České Budějovice","Jihočeský"
"EuroOil, Benešovská 1412, Děčín",35.5,34.9,"Děčín","-stecký"
"EuroOil, Teplická 351, Děčín-Bynov",35.5,34.9,"Děčín","-stecký"
"EuroOil, Dolní Rožínka 86",35.9,34.9,"Žďár nad Sázavou","Vysočina"
"EuroOil, silnice 387, Doubravník 326",35.5,34.9,"Žďár nad Sázavou","Vysočina"
"EuroOil, Teplická 1481, Duchcov",35.9,34.9,"Teplice","-stecký"
"EuroOil, Velkomoravská 81, Hodonín",35.9,34.9,"Hodonín","Jihomoravský"
"EuroOil, Liberecká 732, Hrádek nad Nisou",35.5,34.9,"Liberec","Liberecký"
"EuroOil, silnice 62, Hřensko 163",35.5,34.9,"Děčín","-stecký"
"EuroOil, Hostovského 955, Hronov",35.9,34.9,"Náchod","Královéhradecký"
"EuroOil, Jihlavská, Hrotovice",35.9,34.9,"Třebíč","Vysočina"
"EuroOil, Za Kostelem 598, Jedovnice",35.5,34.9,"Blansko","Jihomoravský"
"EuroOil, Na Podolí 364, Jemnice",35.5,34.9,"Třebíč","Vysočina"
"EuroOil, Třebovská 714, Jevíčko",35.5,34.9,"Svitavy","Pardubický"
"EuroOil, silnice E442, Prunéřov 384",35.9,34.9,"Chomutov","-stecký"
"EuroOil, Hlučínská 793, Kobeřice",35.5,34.9,"Opava","Moravskoslezský"
"EuroOil, Šípkova 707, Lázně Bohdaneč",35.9,34.9,"Pardubice","Pardubický"
"EuroOil, Břeclavská 660, Lednice",35.9,34.9,"Břeclav","Jihomoravský"
"EuroOil, Šedivská 846, Letohrad",35.2,34.9,"Ústí nad Orlicí","Pardubický"
"EuroOil, Tanvaldská 1496, Liberec",35.5,34.9,"Liberec","Liberecký"
"EuroOil, T.G.Masaryka 595, Loket",35.2,34.9,"Sokolov","Karlovarský"
"EuroOil, Loukov 236",35.5,34.9,"Kroměříž","Zlínský"
"EuroOil, Táborská 349, Malšice",35.5,34.9,"Tábor","Jihočeský"
"EuroOil, silnice 392, Mohelno 535",35.9,34.9,"Třebíč","Vysočina"
"EuroOil, Ivančická 222, Moravský Krumlov",35.9,34.9,"Znojmo","Jihomoravský"
"EuroOil, Kvítkovická 1383, Napajedla",35.9,34.9,"Zlín","Zlínský"
"EuroOil, Pražská 238, Nehvizdy",34.9,34.9,"Praha-východ","Středočeský"
"EuroOil, Březinova 315, Nová Říše",35.9,34.9,"Jihlava","Vysočina"
"EuroOil, Masarykova 582, Okříšky",35.5,34.9,"Třebíč","Vysočina"
"EuroOil, Kyselkova 116, Ořechov",35.5,34.9,"Brno-venkov","Jihomoravský"
"EuroOil, Průmyslová 481, Pardubice",35.5,34.9,"Pardubice","Pardubický"
"EuroOil, Pražská 1419, Pelhřimov",35.7,34.9,"Pelhřimov","Vysočina"
"EuroOil, Petrovice 202",35.5,34.9,"Příbram","Středočeský"
"EuroOil, silnice 21, Plzeňská 855, Planá",35.5,34.9,"Tachov","Plzeňský"
"EuroOil, silnice 14, Rokytnice nad Jizerou 499",34.9,34.9,"Semily","Liberecký"
"EuroOil, Linhartova 310, Ruda nad Moravou",34.9,34.9,"Šumperk","Olomoucký"
"EuroOil, Šlapanov 204",35.5,34.9,"Havlíčkův Brod","Vysočina"
"EuroOil, Benešovská 150, Tábor",35.5,34.9,"Tábor","Jihočeský"
"EuroOil, Opavská 302, Velká Polom",35.9,34.9,"Opava","Moravskoslezský"
"EuroOil, Třída Čs. armády 391, Veselí nad Lužnicí",35.5,34.9,"Tábor","Jihočeský"
"EuroOil, Hlavní 382, Vojkovice",35.5,34.9,"Brno-venkov","Jihomoravský"
"EuroOil, Zámecká 328, Vranov nad Dyjí",35.9,34.9,"Znojmo","Jihomoravský"
"EuroOil, Pražská 264, Želetava",35.7,34.9,"Třebíč","Vysočina"
"EuroOil, Krnovská 225, Zlaté Hory",35.5,34.9,"Jeseník","Olomoucký"
"EuroOil, Tyršova 683, Lomnice nad Lužnicí",35.5,34.9,"Jindřichův Hradec","Jihočeský"
"EuroOil, Žernosecká 2266, Litoměřice",35.5,34.9,"Litoměřice","-stecký"
"EuroOil, silnice 46, Litultovice 226",35.5,34.9,"Opava","Moravskoslezský"
"EuroOil, Opavská 106, Krnov",35.6,35.1,"Bruntál","Moravskoslezský"
"EuroOil, silnice 38, Golčův Jeníkov",35.5,35.2,"Kutná Hora","Středočeský"
"EuroOil, Nádražní 381, Adamov",35.9,35.2,"Blansko","Jihomoravský"
"EuroOil, Hřebečská 695, Buštěhrad",35.9,35.2,"Kladno","Středočeský"
"EuroOil, Moravská 399, Bystré",35.9,35.2,"Svitavy","Pardubický"
"EuroOil, Holešovská 10, Bystřice pod Hostýnem",35.9,35.2,"Kroměříž","Zlínský"
"EuroOil, Pacovská 663, Černovice",35.5,35.2,"Pelhřimov","Vysočina"
"EuroOil, silnice 311, Deštné v Orlických horách 42",35.9,35.2,"Rychnov nad Kněžnou","Královéhradecký"
"EuroOil, Tyršova 418, Horní Cerekev",35.5,35.2,"Pelhřimov","Vysočina"
"EuroOil, Havlíčkova 1673, Chotěboř",35.7,35.2,"Havlíčkův Brod","Vysočina"
"EuroOil, Aloise Hanuše 476, Jablonné nad Orlicí",35.5,35.2,"Ústí nad Orlicí","Pardubický"
"EuroOil, Rokelská 1975, Kadaň",35.9,35.2,"Chomutov","-stecký"
"EuroOil, Za Branou 531, Křižanov",35.5,35.2,"Žďár nad Sázavou","Vysočina"
"EuroOil, Havlíčkova 1, Kyjov",36.2,35.2,"Hodonín","Jihomoravský"
"EuroOil, Náměstí 112, Nýrsko",35.7,35.2,"Klatovy","Plzeňský"
"EuroOil, Krapkova 41, Olomouc",35.9,35.2,"Olomouc","Olomoucký"
"EuroOil, Hradecká 690, Opočno",35.9,35.2,"Rychnov nad Kněžnou","Královéhradecký"
"EuroOil, Hájek 119",35.5,35.2,"Karlovy Vary","Karlovarský"
"EuroOil, Chebská 522, Plzeň-Křimice",35.8,35.2,"Plzeň-město","Plzeňský"
"EuroOil, Šandova 281, Poběžovice",35.5,35.2,"Domažlice","Plzeňský"
"EuroOil, Žirovnická 677, Počátky",35.5,35.2,"Pelhřimov","Vysočina"
"EuroOil, Partyzánská 408, Svratka",35.9,35.2,"Žďár nad Sázavou","Vysočina"
"EuroOil, silnice 395, Velká Bíteš",35.5,35.2,"Žďár nad Sázavou","Vysočina"
"EuroOil, Hradecká 775, Žirovnice",35.5,35.2,"Pelhřimov","Vysočina"
"EuroOil, Luhačovská 892, Slavičín",35.9,35.2,"Zlín","Zlínský"
"EuroOil, U Rajské Zahrady 114, Praha 3-Žižkov",35.9,35.4,"Hlavní město Praha","Hlavní město Praha"
"EuroOil, V Telčicích 265, Chvaletice",35.9,35.4,"Pardubice","Pardubický"
"EuroOil, Alej míru 504, Jablunkov",35.9,35.4,"Frýdek-Místek","Moravskoslezský"
"EuroOil, Poděbradská 279, Praha 9-Vysočany",36.2,35.4,"Hlavní město Praha","Hlavní město Praha"
"EuroOil, Sázavská 1112, Světlá nad Sázavou",35.7,35.4,"Havlíčkův Brod","Vysočina"
"EuroOil, Budyšínská, Liberec",35.9,35.5,"Liberec","Liberecký"
"EuroOil, Mladská 570, Benátky nad Jizerou",35.9,35.5,"Mladá Boleslav","Středočeský"
"EuroOil, silnice 388, Bohdalov 143",35.7,35.5,"Žďár nad Sázavou","Vysočina"
"EuroOil, 9. května 406, Budišov nad Budišovkou",36.5,35.5,"Opava","Moravskoslezský"
"EuroOil, Hřbitovní 168, Buchlovice",35.9,35.5,"Uherské Hradiště","Zlínský"
"EuroOil, silnice 4, Dubenec 94",35.5,35.5,"Příbram","Středočeský"
"EuroOil, Jiráskova třída 714, Holýšov",35.7,35.5,"Domažlice","Plzeňský"
"EuroOil, Těšínská 801, Horní Těrlicko",36.5,35.5,"Karviná","Moravskoslezský"
"EuroOil, Nádražní 104, Horšovský Týn",35.7,35.5,"Domažlice","Plzeňský"
"EuroOil, silnice 119, Hostomice pod Brdy",35.8,35.5,"Beroun","Středočeský"
"EuroOil, Pražská 148a, Jablonec nad Nisou",35.9,35.5,"Jablonec nad Nisou","Liberecký"
"EuroOil, silnice 102, Kamýk nad Vltavou 213",35.9,35.5,"Příbram","Středočeský"
"EuroOil, Palackého 371, Koloveč",35.7,35.5,"Domažlice","Plzeňský"
"EuroOil, Hněvotínská 51, Olomouc",35.9,35.5,"Olomouc","Olomoucký"
"EuroOil, silnice 56, Ostravice 704",35.7,35.5,"Frýdek-Místek","Moravskoslezský"
"EuroOil, silnice 422, Osvětimany 333",35.9,35.5,"Uherské Hradiště","Zlínský"
"EuroOil, silnice 354, Radostín nad Oslavou 257",35.7,35.5,"Žďár nad Sázavou","Vysočina"
"EuroOil, Sadová 596, Tovačov",35.5,35.5,"Přerov","Olomoucký"
"EuroOil, Karlovarská 615, Tuchlovice",35.9,35.5,"Kladno","Středočeský"
"EuroOil, Cyrilometodějská 666, Valašské Klobouky",35.8,35.5,"Zlín","Zlínský"
"EuroOil, Komenského 151, Vítkov",36.5,35.5,"Opava","Moravskoslezský"
"EuroOil, Zbraslavice 389",35.9,35.5,"Kutná Hora","Středočeský"
"EuroOil, Dráhy 823, Chropyně",35.5,35.5,"Kroměříž","Zlínský"
"EuroOil, Pražská 530, Týnec nad Sázavou",35.6,35.6,"Benešov","Středočeský"
"EuroOil, Opavská 1025/29, Bílovec",35.9,35.7,"Nový Jičín","Moravskoslezský"
"EuroOil, silnice 49, Horní Lideč 295",35.9,35.7,"Vsetín","Zlínský"
"EuroOil, Frýdecká 1622, Havířov-Bludovice",36.7,35.9,"Karviná","Moravskoslezský"
"EuroOil, silnice 498, Hluk 1263",35.9,35.9,"Uherské Hradiště","Zlínský"
"EuroOil, Skaštická 1264, Hulín",36.5,35.9,"Kroměříž","Zlínský"
"EuroOil, Ostravská 6a, Karviná",35.7,35.9,"Karviná","Moravskoslezský"
"EuroOil, Tržní náměstí 253, Kojetín",35.9,35.9,"Přerov","Olomoucký"
"EuroOil, 8. května 713, Kostelec na Hané",36.9,35.9,"Prostějov","Olomoucký"
"EuroOil, Rybalkova 2702, Louny",35.9,35.9,"Louny","-stecký"
"EuroOil, Nádražní 1036, Mníšek pod Brdy",36.2,35.9,"Praha-západ","Středočeský"
"EuroOil, Brněnská 90, Prostějov",36.9,35.9,"Prostějov","Olomoucký"
"EuroOil, silnice 150, prostějov-Mostkovice 415",36.9,35.9,"Prostějov","Olomoucký"
"EuroOil, Zámecká 9, Šenov",36.5,35.9,"Frýdek-Místek","Moravskoslezský"
"EuroOil, Ostravská 433, Sviadnov",35.9,35.9,"Frýdek-Místek","Moravskoslezský"
"EuroOil, Tyršova 108, Týnec nad Labem",36.5,35.9,"Kolín","Středočeský"
"EuroOil, Komenského 1016, Zdice",36.2,35.9,"Beroun","Středočeský"
"EuroOil, Příborská 2271, Frýdek-Místek",36.1,36.1,"Frýdek-Místek","Moravskoslezský"
"EuroOil, Čechýnská 169, Rousínov",36.1,36.1,"Vyškov","Jihomoravský"
"EuroOil, Vlašimská 2168, Benešov",36.5,36.2,"Benešov","Středočeský"
"EuroOil, Pražská 859, Beroun-Závodí",36.2,36.2,"Beroun","Středočeský"
"EuroOil, Bučovická 1455, Slavkov u Brna",36.2,36.2,"Vyškov","Jihomoravský"
"EuroOil, Dolní Jasenka 283, Vsetín",36.3,36.2,"Vsetín","Zlínský"
"EuroOil, Vrbova 1796, Praha 4-Braník",36.4,36.4,"Hlavní město Praha","Hlavní město Praha"
"EuroOil, Okružní 898, Brno-Lesná",36.9,36.5,"Brno-město","Jihomoravský"
"EuroOil, Křížkovského 535, Brno",36.9,36.5,"Brno-město","Jihomoravský"
"EuroOil, Opuštěná 468, Brno-Trnitá",36.9,36.5,"Brno-město","Jihomoravský"
"LukOil, dálnice D1, směr Brno, Vyškov",35.8,35.4,"Vyškov","Jihomoravský"
"OMV, dálnice D1, směr Vyškov, Rohlenka",37.5,37.7,"Brno-venkov","Jihomoravský"
"OMV, dálnice D1, směr Vyškov, Brno-Tuřany",38.9,38.9,"Brno-město","Jihomoravský"
"Shell Czech Republic, a.s., Dálnice D1, směr Ostra",38.9,38.9,"Nový Jičín","Moravskoslezský"
"Benzina Plus, Dálnice D1, směr Ostrava - Olomouc,",37.2,36.6,"Nový Jičín","Moravskoslezský"
"Benzina Plus, Dálnice D1, směr Olomouc - Ostrava,",37.2,36.6,"Nový Jičín","Moravskoslezský"
"Shell Czech Republic, a.s., Dálnice D1, směr Olomo",38.9,38.9,"Nový Jičín","Moravskoslezský"
"Shell Czech Republic, a.s., Daskabát",38.9,38.9,"Olomouc","Olomoucký"
"Benzina Plus, Javorská, Železná Ruda",35.9,34.9,"Klatovy","Plzeňský"
"Petra, Pamferova Huť 107, Železná Ruda",35.9,34.9,"Klatovy","Plzeňský"
"Shell Czech Republic, a.s., Dálnice D1, směr Bohum",38.9,38.9,"Opava","Moravskoslezský"
"Shell Czech Republic, a.s., Dálnice D1, směr Ostra",38.9,38.9,"Ostrava-město","Moravskoslezský"
"Benzina, Na Vinici 1333, Stříbro",36.4,36.4,"Tachov","Plzeňský"
"MPA, Na Vinici 1333, Stříbro",36.4,36.4,"Tachov","Plzeňský"
"VS Petrol, silnice 102, Drevníky",35.9,35.9,"Příbram","Středočeský"
"Agip, Plzeňská, Stříbro",36.4,36.4,"Tachov","Plzeňský"
"Tesco Stores ČR, a.s., Vídeňská 100/117, Brno",37.9,36.4,"Brno-město","Jihomoravský"
"Silmet, Vídeňská 131, Brno",37.4,36.9,"Brno-město","Jihomoravský"
"JET, Heršpická, Brno",36.9,36.7,"Brno-město","Jihomoravský"
"Agro Žamberk, Němčice",33.6,33.9,"Ústí nad Orlicí","Pardubický"
"RoBiN OIL, s.r.o., silnice R7, Středokluky",36.3,35.9,"Praha-západ","Středočeský"
"Shell Czech Republic, a.s., Okružní, Brno-Lesná",37.4,37.4,"Brno-město","Jihomoravský"
"Mikra Plus,silnice 605, Chrášťany",35.9,35,"Praha-západ","Středočeský"
"Benol, Nižbor 108",36.39,35.99,"Beroun","Středočeský"
"OMV, Plzeňská 1264, Beroun",36.5,36.5,"Beroun","Středočeský"
"PapOil, Drnovská 28, Praha 6-Ruzyně",36.5,35.9,"Hlavní město Praha","Hlavní město Praha"
"Benzina, Plzeňská, Beroun",36.5,36.5,"Beroun","Středočeský"
"OMV, Karlovarská 47, Praha 6-Řepy",37.2,37.7,"Hlavní město Praha","Hlavní město Praha"
"OMV, Slánská, Praha 6-Řepy",38.3,37.9,"Hlavní město Praha","Hlavní město Praha"
"NN Oil, Veleslavínská 17, Praha 6-Veleslavín",35.9,35.2,"Hlavní město Praha","Hlavní město Praha"
"Benzina Plus, Ankarská, Praha 6-Břevnov",37.2,37.7,"Hlavní město Praha","Hlavní město Praha"
"Agip, Evropská, Praha 6-Veleslavín",38.5,38.3,"Hlavní město Praha","Hlavní město Praha"
"Raufer, Nádražní 415, Liteň",36.5,35.5,"Beroun","Středočeský"
"FATO Plus, Ořešská 59, Praha 5-Řeporyje",36.2,35.6,"Hlavní město Praha","Hlavní město Praha"
"PapOil, silnice 232, Břasy",35.7,34.7,"Rokycany","Plzeňský"
"PapOil, Plaská 1843/70, Plzeň-Bolevec",35.5,35.2,"Plzeň-město","Plzeňský"
"Globus, Chlumecká 6, Praha 9-Černý Most",35.6,34.6,"Hlavní město Praha","Hlavní město Praha"
"Shell Czech Republic, a.s., Poděbradská 325, Praha",37.6,37.6,"Hlavní město Praha","Hlavní město Praha"
"LukOil, Náchodská 2410, Praha 9-Horní Počernice",34.2,33.5,"Hlavní město Praha","Hlavní město Praha"
"Shell Czech Republic, a.s., Jaselská 880, Kolín",36.9,35.9,"Kolín","Středočeský"
"Shell Czech Republic, a.s., Třídvorská 1415, Kolín",36.9,35.9,"Kolín","Středočeský"
"Sihelský, Veltrubská 543, Kolín",36.5,35.9,"Kolín","Středočeský"
"Rabštejn, Havlíčkova 893, Kolín",36.3,35.6,"Kolín","Středočeský"
"PapOil, silnice 12, Zlaté Slunce, Břežany",34.9,35.9,"Kolín","Středočeský"
"Benzina, Náchodská, Praha 9-Horní Počernice",34.9,34.2,"Hlavní město Praha","Hlavní město Praha"
"PapOil, Revoluční 714, Velký Osek",35.9,34.9,"Kolín","Středočeský"
"Slovnaft, silnice 4, Horosedly 73",35.7,35.3,"Písek","Jihočeský"
"OMV, Pražská 1059, Kolín",37.2,36.7,"Kolín","Středočeský"
"OMV, Ovčárecká, Kolín",37.5,37.2,"Kolín","Středočeský"
"RoBiN OIL, s.r.o., silnice 4, Drhovle Ves 4",33.9,32.9,"Písek","Jihočeský"
"KM-Prona, Vrbčany 53",36.9,35.9,"Kolín","Středočeský"
"LukOil, Havlíčkova, Kolín",36.3,35.9,"Kolín","Středočeský"
"Ojl, Ovčárecká, Kolín",36.9,35.9,"Kolín","Středočeský"
"Galon, K dílnám 887, Kolín",35.9,34.9,"Kolín","Středočeský"
"KM-Prona, Sokolská 539, Zásmuky",36.9,35.9,"Kolín","Středočeský"
"Agip, Pražská, Kolín",37.5,37.2,"Kolín","Středočeský"
"Agip, Havlíčkova 1522, Kolín",36.5,35.6,"Kolín","Středočeský"
"Agip, Ke Hřbitovu, Kolín",37.5,36.9,"Kolín","Středočeský"
"H.A.S., Svazarmovská 317, Frýdek-Místek",34.5,33.7,"Frýdek-Místek","Moravskoslezský"
"DELO, Čelakovského 2255, Frýdek-Místek",35.9,34.7,"Frýdek-Místek","Moravskoslezský"
"Albert ČS, 17. Listopadu 2262, Frýdek-Místek",36.1,36.1,"Frýdek-Místek","Moravskoslezský"
"Benzina Plus, Beskydská, Frýdek-Místek",36.2,36.4,"Frýdek-Místek","Moravskoslezský"
"PapOil, Buzulucká, Komárov",34.9,34.5,"Beroun","Středočeský"
"Karimpex, Bruzovská 5546, Frýdek-Místek",32.9,32.9,"Frýdek-Místek","Moravskoslezský"
"Gulf, silnice č.486, Fryčovice",33.2,33.2,"Frýdek-Místek","Moravskoslezský"
"Benzina, Příborská, Frýdek-Místek",36.2,36.2,"Frýdek-Místek","Moravskoslezský"
"Shell Czech Republic, a.s., silnice R56, směr Ostr",36.4,36.6,"Frýdek-Místek","Moravskoslezský"
"Swiss Tank, Vojkovice 153",35.3,34.5,"Frýdek-Místek","Moravskoslezský"
"Gatrak, Jožky Matěje 215, Brušperk",35.9,35.7,"Frýdek-Místek","Moravskoslezský"
"OMV, silnice R48, směr Polsko, Dobrá",36.4,36.2,"Frýdek-Místek","Moravskoslezský"
"Unicorn, Dobrá 307",35.4,34.5,"Frýdek-Místek","Moravskoslezský"
"K-Petrol, Pražmo",34.6,34.9,"Frýdek-Místek","Moravskoslezský"
"SF Petrol Tank, Kozlovice 777",34.9,34.9,"Frýdek-Místek","Moravskoslezský"
"TMAS CZ, Bílovecká, Ostrava-Svinov",36.3,35.5,"Ostrava-město","Moravskoslezský"
"Slovnaft, Ostrava, Rudná",36.9,36.4,"Ostrava-město","Moravskoslezský"
"PapOil, Plzeňská 294, Ostrava",35.9,34.7,"Ostrava-město","Moravskoslezský"
"OMV, Opavská 5, Ostrava-Poruba",37.4,36.9,"Ostrava-město","Moravskoslezský"
"Unicorn",36.3,35.8,"Brno-venkov","Jihomoravský"
"Agip, Hradecká, Brno-Královo Pole",37.2,37.4,"Brno-město","Jihomoravský"
"OMV, Hradecká 40, Brno-Královo Pole",37.8,37.9,"Brno-město","Jihomoravský"
"Shell Czech Republic, a.s., Hradecká, Brno-Královo",37.9,37.9,"Brno-město","Jihomoravský"
"Armex Oil, silnice 201, Broumov",36.3,33.9,"Tachov","Plzeňský"
"PapOil, Lipová 325, Černosín",35.9,34.9,"Tachov","Plzeňský"
"Profi Auto, Kralupská, Statenice-Černý Vůl",36.3,35.5,"Praha-západ","Středočeský"
"OMV, Bucharova 20/1093, Praha 5-Stodůlky",37.2,37.7,"Hlavní město Praha","Hlavní město Praha"
"Rockoil, Radlická, Praha 5-Jinonice",36.2,35.4,"Hlavní město Praha","Hlavní město Praha"
"OMV, Radlická 629/222, Praha 5-Jinonice",37.2,37.7,"Hlavní město Praha","Hlavní město Praha"
"ČSAD Hodonín, Modřanská 80, Praha 4-Modřany",37.7,38.7,"Hlavní město Praha","Hlavní město Praha"
"AB Oil, bratří Křičků 1980/50, Brno-Řečkovice",36.9,35.5,"Brno-město","Jihomoravský"
"Shell Czech Republic, a.s., Jižní spojka, směr Bra",38.3,38.9,"Hlavní město Praha","Hlavní město Praha"
"Globus, Hradecká 408/40, Brno-Ivanovice",35.4,34.4,"Brno-město","Jihomoravský"
"Shell Czech Republic, a.s., Výstavní 2/15, Praha 1",37.9,38.3,"Hlavní město Praha","Hlavní město Praha"
"OMV, Jižní spojka 42, směr Barrandov, Praha 4-Krč",38.3,38.9,"Hlavní město Praha","Hlavní město Praha"
"OMV, Zálesí 100, Praha 4-Lhotka",37.9,38.9,"Hlavní město Praha","Hlavní město Praha"
"OMV, Jižní spojka, směr Barrandov, Praha 4-Braník",37.9,37.9,"Hlavní město Praha","Hlavní město Praha"
"OMV, K Horkám 2, Praha 4-Háje",38.7,38.9,"Hlavní město Praha","Hlavní město Praha"
"Agropa, silnice 184, Všeruby-Hájek 3",35.9,34.9,"Domažlice","Plzeňský"
"Benzina, Na Kobyle 656, Kdyně",35.9,34.9,"Domažlice","Plzeňský"
"OMV, Na Kobyle 648, Kdyně",35.9,34.9,"Domažlice","Plzeňský"
"Agip, K Sídlišti, Praha 4-Pankrác",37.2,37.8,"Hlavní město Praha","Hlavní město Praha"
"Agip, Modřanská, Praha 4-Podolí",37.6,38.7,"Hlavní město Praha","Hlavní město Praha"
"Tank ONO, s.r.o., silnice 26, Újezd 131",32.9,32.9,"Domažlice","Plzeňský"
"Top tank F1 gas, silnice 189, Lísková - Nemanice",34.8,34.5,"Domažlice","Plzeňský"
"Agip, Na Jelenách 1122, Praha 4-Chodov",37.2,36.9,"Hlavní město Praha","Hlavní město Praha"
"OMV, silnice 25, Draženov 117",35.5,35.2,"Domažlice","Plzeňský"
"F1 GAS , silnice 26, Česká Kubice-Horní Folma",34.5,33.3,"Domažlice","Plzeňský"
"Agip, silnice 26, směr Německo, Horní Folmava",34.9,34.5,"Domažlice","Plzeňský"
"Agip, silnice 26, směr Domažlice, Horní Folmava",34.9,34.5,"Domažlice","Plzeňský"
"OMV, silnice 26, Česká Kubice-Horní Folmava",34.9,34.5,"Domažlice","Plzeňský"
"Benzina, silnice 58, Stará Ves nad Ondřejnicí",35.7,34.9,"Frýdek-Místek","Moravskoslezský"
"Benzina, Martinovská 2, Ostrava-Třebovice",35.9,35.2,"Ostrava-město","Moravskoslezský"
"Benzina, Místecká 733, Ostrava-Hrabová",36.4,35.4,"Ostrava-město","Moravskoslezský"
"OMV, Ostravská 260, Bílovec",36.7,35.9,"Nový Jičín","Moravskoslezský"
"Agip, 17. listopadu, Ostrava",36.2,34.9,"Ostrava-město","Moravskoslezský"
"Agip, Ruská, Ostrava",36.2,34.9,"Ostrava-město","Moravskoslezský"
"Benzina Plus, Za Mlýnem, Tišnov",35.1,34.9,"Brno-venkov","Jihomoravský"
"Automont CSW, Plzeňská, Ostrava-Zábřeh",36.6,35.2,"Ostrava-město","Moravskoslezský"
"Shell Czech Republic, a.s., Na přeložce 289, Horšo",35.9,35.9,"Domažlice","Plzeňský"
"Benzina, silnice 189, Klenčí pod Čerchovem 341",35.5,35.2,"Domažlice","Plzeňský"
"PapOil, silnice 26, Staňkov-Vránov 27",35.9,35.7,"Domažlice","Plzeňský"
"Čerchovka, Klenčí pod Čerchovem 321",35.5,35.8,"Domažlice","Plzeňský"
"Agip, Palackého třída, Brno-Medlánky",37.9,37.8,"Brno-město","Jihomoravský"
"Benzina, Kozinova 158, Domažlice",35.8,34.8,"Domažlice","Plzeňský"
"Benzina, silnice R10, směr Mladá Boleslav, Praha 9",35.9,34.9,"Hlavní město Praha","Hlavní město Praha"
"Agropodnik Domažlice, Masarykova 523, Domažlice",33.9,34,"Domažlice","Plzeňský"
"ČS, Cihlářská 520, Domažlice",33.9,34,"Domažlice","Plzeňský"
"Silmet, Masarykova 569, Domažlice",35.9,34.9,"Domažlice","Plzeňský"
"Shell Czech Republic, a.s., Masarykova 543, Domažl",35.9,34.9,"Domažlice","Plzeňský"
"G7, a.s., Lobendavská, Horní Poustevna",35.8,35.3,"Děčín","-stecký"
"Agip, Sokolovská 122, Litomyšl",36.4,35.5,"Svitavy","Pardubický"
"Benzina, Moravská, Ústí nad Orlicí",35.2,36.5,"Ústí nad Orlicí","Pardubický"
"PapOil, Kbelská, Praha 9-Prosek",36.5,35.9,"Hlavní město Praha","Hlavní město Praha"
"Agip, Opavská 13, Ostrava",36.2,34.9,"Ostrava-město","Moravskoslezský"
"OMV, Americká, Kladno-Kročehlavy",36.9,36.9,"Kladno","Středočeský"
"Marek Honemeyer, Kostelecká 823, Rtyně v Podkrkono",35.8,35.5,"Trutnov","Královéhradecký"
"Chemis engine, U splavu 1448, Slavkov u Brna",34.3,33.9,"Vyškov","Jihomoravský"
"Autorest, Palackého 1094, Úpice",35.5,34.6,"Trutnov","Královéhradecký"
"TENRYU, Špitálská 1460, Slavkov u Brna",36.6,36.5,"Vyškov","Jihomoravský"
