,OBJECTID,ID,Y,X,NAZEV,AKTUALIZACE,CENA,JMENO
1230,1231,5434,49.184654,16.648662,"OMV, »ernovick·, Brno-»ernovice",04.11.2014 15:52,37.5,OMV
1153,1154,6627,50.069073,14.358708,"OMV, PlzeÚsk·, do centra, Praha 5-KoöÌ¯e",04.11.2014 16:18,37.5,OMV
2054,2055,7142,49.184097,16.683192,"Slovnaft, Ostravsk·, Brno-Slatina",04.11.2014 08:36,37.5,Slovnaft
1231,1232,6492,49.189864,16.637308,"OMV, Olomouck· 19, Brno-»ernovice",04.11.2014 15:52,37.5,OMV
1013,1014,7073,50.104721,14.481158,"Shell Czech Republic, a.s., »uprova, Praha 9-VysoË",04.11.2014 16:54,37.5,Shell Czech Republic
1410,1411,6509,48.972617,14.466089,"OMV, Na DlouhÈ louce, »eskÈ BudÏjovice",04.11.2014 14:54,37.5,OMV
496,497,7114,49.483865,17.966806,"Shell Czech Republic, a.s., Masarykova 35, Valaösk",05.11.2014 06:47,37.5,Shell Czech Republic
1116,1117,7116,49.992782,14.48959,"Shell Czech Republic, a.s., VÌdeÚsk· 343, Vestec",04.11.2014 16:24,37.5,Shell Czech Republic
1398,1399,6510,48.989478,14.45925,"OMV, VltavskÈ n·b¯eûÌ 12, »eskÈ BudÏjovice",04.11.2014 14:55,37.5,OMV
1444,1445,5480,49.165662,16.631316,"Benzina, Kaötanov·, Brno",04.11.2014 14:42,37.5,Benzina
1566,1567,7122,50.39816,16.10604,"Shell Czech Republic, a.s., silnice E67, Vysokov 1",04.11.2014 13:50,37.5,Shell Czech Republic
1152,1153,6626,50.069793,14.360571,"OMV, PlzeÚsk·, z centra, Praha 5-KoöÌ¯e",04.11.2014 16:18,37.5,OMV
1409,1410,5243,48.9739,14.46456,"Agip, Na DlouhÈ louce 2, »eskÈ BudÏjovice",04.11.2014 14:54,37.5,Agip
182,183,6600,49.885096,14.710166,"OMV, silnice E55, smÏr Praha, PÏtihosty",05.11.2014 09:36,37.4,OMV
